Tipo: MAIN	Lexema: _verano_	Linea: 1	Columna:0
Tipo: DOS_PUNTOS	Lexema: sigue	Linea: 1	Columna:9
Tipo: INTEGER	Lexema: rodolfo	Linea: 5	Columna:4
Tipo: IDENTIFICADOR	Lexema: _pruebaCreaciones_	Linea: 5	Columna:12
Tipo: PARENTESIS_A	Lexema: abreregalo	Linea: 5	Columna:31
Tipo: PARENTESIS_C	Lexema: cierraregalo	Linea: 5	Columna:42
Tipo: BLOQUE_A	Lexema: abrecuento	Linea: 5	Columna:55
Tipo: INTEGER	Lexema: rodolfo	Linea: 7	Columna:8
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 7	Columna:16
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 7	Columna:24
Tipo: FLOAT	Lexema: bromista	Linea: 8	Columna:8
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 8	Columna:17
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 8	Columna:25
Tipo: BOOL	Lexema: trueno	Linea: 9	Columna:8
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 9	Columna:16
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 9	Columna:24
Tipo: CHAR	Lexema: cupido	Linea: 10	Columna:8
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 10	Columna:15
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 10	Columna:23
Tipo: STRING	Lexema: cometa	Linea: 11	Columna:8
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 11	Columna:15
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 11	Columna:23
Tipo: INTEGER	Lexema: rodolfo	Linea: 14	Columna:8
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 14	Columna:16
Tipo: CORCHETE_A	Lexema: abreempaque	Linea: 14	Columna:24
Tipo: LIT_INTEGER	Lexema: 5	Linea: 14	Columna:36
Tipo: CORCHETE_C	Lexema: cierraempaque	Linea: 14	Columna:38
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 14	Columna:52
Tipo: CHAR	Lexema: cupido	Linea: 15	Columna:8
