Tabla de Símbolos:
Nombre          Tipo       Línea      Columna    Valor     
----------------------------------------------------------
_guau_          IDENTIFICADOR   29         33         null      
navidad         SUMA            36         41         null      
_pruebaCondicionalElse_ IDENTIFICADOR   89         12         null      
hada            ELSE            93         9          null      
envia           RETURN          147        9          null      
rodolfo         INTEGER         6          5          null      
nochebuena      MULTIPLICACION  36         58         null      
'c'             LIT_CHAR        47         86         null      
finregalo       DELIMITADOR     8          25         null      
grinch          DECREMENTO      36         51         null      
bromista        FLOAT           9          9          null      
_pruebaCondicional_ IDENTIFICADOR   82         12         null      
entrega         ASIGNACION      22         25         null      
93              LIT_INTEGER     36         69         null      
_prueba_        IDENTIFICADOR   125        12         null      
10              LIT_INTEGER     16         36         null      
elfo            IF              83         9          null      
trueno          BOOL            10         9          null      
ultimo          DEFAULT         132        13         null      
cupido          CHAR            11         9          null      
40.53           LIT_FLOAT       23         34         null      
sigue           DOS_PUNTOS      2          10         null      
'd'             LIT_CHAR        47         91         null      
,               COMA            46         74         null      
-               NEGATIVO        53         29         null      
cierraregalo    PARENTESIS_C    6          43         null      
1               LIT_INTEGER     46         73         null      
2               LIT_INTEGER     83         25         null      
3               LIT_INTEGER     36         33         null      
4               LIT_INTEGER     36         49         null      
_i_             IDENTIFICADOR   119        35         null      
5               LIT_INTEGER     15         37         null      
narra           PRINT           144        9          null      
abreempaque     CORCHETE_A      15         25         null      
cierraempaque   CORCHETE_C      15         39         null      
3.1             LIT_FLOAT       38         64         null      
true            LIT_BOOL        24         33         null      
1.5             LIT_FLOAT       37         54         null      
snowball        MENOR           83         27         null      
duende          FOR             119        9          null      
escucha         READ            43         32         null      
quien           INCREMENTO      36         35         null      
'e'             LIT_CHAR        47         96         null      
abreregalo      PARENTESIS_A    6          32         null      
'a'             LIT_CHAR        47         72         null      
cometa          STRING          12         9          null      
453             LIT_INTEGER     22         33         null      
corta           BREAK           131        17         null      
abrecuento      BLOQUE_A        6          56         null      
_verano_        MAIN            2          1          null      
cierracuento    BLOQUE_C        17         5          null      
_pruebaCreaciones_ IDENTIFICADOR   6          13         null      
_pruebaCreacionesAsignaciones_ IDENTIFICADOR   20         14         null      
historia        CASE            128        13         null      
mary            IGUALDAD        38         59         null      
_pruebaAsignaciones_ IDENTIFICADOR   51         12         null      
_pruebaCondicionalesElse_ IDENTIFICADOR   99         12         null      
'A'             LIT_CHAR        25         32         null      
varios          SWITCH          127        9          null      
"hola"          LIT_STRING      26         32         null      
_perro_         IDENTIFICADOR   8          17         null      
envuelve        WHILE           114        9          null      
